Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Isaiah Stewart,22.4,DET,Big,854,29,13.6%,32,115.7,29,7.5%,35,0.55,32,15.8%
Julian Strawther,21.5,DEN,Wing,396,73,18.1%,7,100.6,47,10.7%,32,0.59,84,8.2%
Max Strus,27.6,CLE,Wing,1108,72,18.1%,20,105.7,78,15.3%,74,0.85,57,11.3%
Jalen Suggs,22.4,ORL,Combo,711,52,19.9%,83,120.3,22,13.8%,17,0.70,15,15.7%
Jae'Sean Tate,28.0,HOU,Forward,500,10,10.9%,43,113.8,50,8.2%,74,0.75,53,10.4%
Jayson Tatum,25.7,BOS,Forward,1068,97,30.1%,72,120.6,88,18.7%,56,0.62,39,11.2%
Dalen Terry,21.3,CHI,Wing,144,2,9.8%,5,100.0,32,8.9%,84,0.92,5,18.5%
Daniel Theis,31.6,LAC,Forward,319,53,16.1%,53,115.7,29,6.7%,22,0.42,42,11.2%
Cameron Thomas,22.1,BKN,Combo,681,92,29.7%,38,109.5,15,12.5%,0,0.42,90,8.1%
Amen Thompson,20.8,HOU,Combo,137,25,16.1%,13,95.1,8,10.8%,12,0.67,12,15.7%
Ausar Thompson,20.8,DET,Forward,768,57,17.1%,17,101.1,78,12.9%,75,0.75,7,15.3%
Klay Thompson,33.7,GSW,Wing,911,79,21.1%,53,115.5,46,10.6%,17,0.50,51,11.6%
Tristan Thompson,32.6,CLE,Big,284,23,12.7%,41,118.8,61,11.6%,85,0.91,35,15.5%
JT Thor,21.2,CHA,Big,339,3,9.4%,4,86.8,3,3.8%,15,0.41,97,6.7%
Matisse Thybulle,26.7,POR,Wing,731,4,9.8%,68,119.1,10,6.6%,53,0.67,46,12.0%
Xavier Tillman,24.8,MEM,Big,374,52,15.9%,3,84.6,59,10.8%,58,0.68,72,10.8%
Obi Toppin,25.7,IND,Big,706,31,13.8%,91,138.7,24,6.9%,31,0.50,76,10.7%
Karl-Anthony Towns,28.0,MIN,Big,952,89,24.8%,65,125.8,76,13.8%,35,0.55,37,15.2%
Gary Trent Jr.,24.8,TOR,Wing,713,68,17.9%,15,103.3,31,8.6%,14,0.48,98,6.1%
PJ Tucker,38.5,LAC,Forward,171,0,4.9%,6,93.3,19,5.9%,99,1.21,51,10.5%
Myles Turner,27.6,IND,Big,793,83,20.9%,64,125.7,9,5.4%,3,0.26,75,10.7%
Stanley Umude,24.6,DET,Wing,137,48,16.0%,100,137.0,12,6.8%,6,0.43,6,16.2%
Jonas Valanciunas,31.5,NOP,Big,886,71,19.2%,70,126.8,70,12.5%,52,0.65,54,12.7%
Fred VanVleet,29.7,HOU,Point,1095,41,23.5%,43,112.0,84,32.5%,81,1.38,86,8.5%
Jarred Vanderbilt,24.6,LAL,Big,173,1,8.4%,0,54.8,17,6.1%,65,0.72,98,5.8%
Devin Vassell,23.2,SAS,Wing,783,85,22.1%,62,117.4,85,16.3%,60,0.74,88,7.9%
Aleksandar Vezenkov,28.2,SAC,Forward,311,40,14.1%,29,109.9,4,3.7%,3,0.26,78,8.7%
Gabe Vincent,27.4,LAL,Combo,126,7,13.4%,2,81.8,35,17.2%,83,1.28,100,5.1%
Nikola Vucevic,33.0,CHI,Big,1054,86,22.3%,10,103.0,85,16.1%,65,0.72,80,10.1%
Dean Wade,26.9,CLE,Forward,550,4,9.6%,53,115.7,8,5.3%,46,0.55,65,9.7%
Franz Wagner,22.2,ORL,Forward,1054,89,25.6%,38,112.4,86,18.6%,71,0.73,71,9.1%
Moritz Wagner,26.5,ORL,Big,572,74,19.4%,86,135.0,55,10.0%,33,0.52,38,14.9%
Jabari Walker,21.3,POR,Big,560,49,15.7%,29,114.1,10,5.5%,6,0.35,65,11.7%
Lonnie Walker,24.9,BKN,Wing,357,89,24.2%,90,128.6,53,10.8%,7,0.45,40,12.3%
Cason Wallace,20.0,OKC,Combo,627,2,11.0%,93,130.1,2,8.6%,25,0.79,77,9.8%
PJ Washington,25.2,CHA,Big,770,76,19.7%,13,105.7,60,11.0%,37,0.56,68,11.4%
Yuta Watanabe,29.1,PHX,Forward,327,15,11.8%,21,102.3,3,3.3%,4,0.28,6,15.4%
Trendon Watford,23.0,BKN,Big,290,77,19.9%,45,120.4,86,18.0%,85,0.91,34,15.5%
Peyton Watson,21.1,DEN,Forward,537,39,14.0%,47,114.2,36,7.4%,40,0.53,40,11.2%
Victor Wembanyama,19.8,SAS,Big,794,94,27.9%,15,107.2,82,16.0%,43,0.57,25,16.5%
Russell Westbrook,35.0,LAC,Point,742,59,25.9%,22,104.5,62,28.3%,49,1.09,8,16.1%
Coby White,23.7,CHI,Combo,1149,67,22.8%,60,114.7,52,20.4%,43,0.89,62,10.5%
Derrick White,29.3,BOS,Combo,916,55,21.1%,92,128.5,55,21.3%,57,1.01,53,11.2%
Aaron Wiggins,24.8,OKC,Forward,314,46,14.7%,96,130.2,57,9.0%,54,0.61,13,13.7%
Andrew Wiggins,28.7,GSW,Forward,718,74,20.9%,10,100.0,35,7.3%,7,0.35,19,12.6%
Grant Williams,24.9,DAL,Big,839,20,12.4%,25,112.1,35,7.8%,45,0.63,78,10.4%
Jalen Williams,22.5,OKC,Wing,861,88,22.4%,80,122.4,88,17.0%,62,0.76,68,9.8%
Jaylin Williams,21.3,OKC,Big,277,40,14.7%,7,101.3,78,14.2%,88,0.96,85,9.7%
Kenrich Williams,28.9,OKC,Big,307,22,12.5%,55,122.6,74,13.5%,91,1.08,99,4.6%
Mark Williams,21.9,CHA,Big,508,42,14.9%,85,133.7,14,5.9%,12,0.40,86,9.6%
Patrick Williams,22.2,CHI,Big,904,46,15.4%,25,112.4,25,7.3%,27,0.47,67,11.4%
Robert Williams,26.0,POR,Big,118,18,12.1%,94,141.4,22,6.5%,34,0.54,8,20.6%
Ziaire Williams,22.1,MEM,Wing,535,67,17.9%,6,100.5,56,11.1%,42,0.62,9,15.8%
Vince Williams Jr.,23.2,MEM,Wing,457,10,11.6%,21,106.9,44,10.3%,78,0.89,17,14.5%
Zion Williamson,23.3,NOP,Big,801,95,28.7%,55,122.4,94,23.9%,78,0.84,62,12.1%
James Wiseman,22.6,DET,Big,250,33,14.0%,82,132.5,37,7.8%,39,0.56,5,21.4%
Christian Wood,28.1,LAL,Big,470,50,15.8%,21,110.6,21,6.5%,16,0.41,20,17.0%
Delon Wright,31.5,WAS,Combo,170,32,17.0%,45,110.9,75,25.5%,95,1.50,98,6.1%
Trae Young,25.1,ATL,Point,1055,97,36.0%,65,118.4,97,44.9%,70,1.25,22,13.1%
Omer Yurtseven,25.4,UTA,Big,198,45,15.3%,16,108.5,36,7.8%,32,0.51,2,25.0%
Cody Zeller,31.1,NOP,Big,170,15,11.7%,1,72.2,73,13.4%,92,1.14,92,8.4%
Ivica Zubac,26.6,LAC,Big,831,44,15.1%,78,130.2,19,6.2%,17,0.41,53,12.8%
